list-card-link href,list-card-addr,list-card-type,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-variable-text,list-card-link src,,list-card-price,list-card-details 3,list-card-label 3,list-card-save-content
https://www.zillow.com/b/6015-fresh-pond-rd-maspeth-ny-5jFyJC/,"6015 Fresh Pond Rd, Maspeth, NY",For Rent,"$1,750 ",1 bd,"$1,950 ",2 bds,Updated today,https://photos.zillowstatic.com/p_e/ISn6n8aze3b9w01000000000.jpg,,,,,
https://www.zillow.com/b/corte-long-island-city-ny-97ZK94/,"CORTE | 2130 44th Dr, Long Island City, NY",CORTE,"$3,450+",1 bd,"$5,295+",2 bds,Updated today,https://photos.zillowstatic.com/p_e/IS3jjqkh209m5v1000000000.jpg,,,,,
"https://www.zillow.com/b/9309-63rd-Dr-Rego-Park-NY/40.726385,-73.861479_ll/","9309 63rd Dr, Rego Park, NY",For Rent,$650 ,Studio,"$1,992 ",1 bd,Updated today,https://photos.zillowstatic.com/p_e/ISrx61oz2g5dgh1000000000.jpg,,,,,
https://www.zillow.com/b/the-birch-queens-ny-5Y3yz6/,"The Birch | 10245 62nd Rd, Forest Hills, NY",The Birch,"$1,612 ",Studio,"$2,385 ",2 bds,Updated today,https://photos.zillowstatic.com/p_e/IS7u6beyz1y8hq1000000000.jpg,,,,,
https://www.zillow.com/homedetails/274-Onderdonk-Ave-2-Ridgewood-NY-11385/2081891195_zpid/,"274 Onderdonk Ave # 2, Ridgewood, NY 11385",Apartment for rent,2,bds,1,ba,3 hours ago,https://photos.zillowstatic.com/p_e/ISv0w9rax6s05l0000000000.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""274 Onderdonk Ave # 2, Ridgewood, NY 11385"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""274 Onderdonk Ave # 2"",""addressLocality"":""Ridgewood"",""addressRegion"":""NY"",""postalCode"":""11385""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.709365,""longitude"":-73.91632},""url"":""/homedetails/274-Onderdonk-Ave-2-Ridgewood-NY-11385/2081891195_zpid/""}","$2,200/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/6812-37th-Rd-APT-103-Flushing-NY-11377/93392829_zpid/,"6812 37th Rd APT 103, Flushing, NY 11377",Apartment for rent,Studio,ba,1,sqft,3 hours ago,https://photos.zillowstatic.com/p_e/ISznwk71dx5b4a0000000000.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6812 37th Rd Apt 103, Flushing, NY 11377"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""586""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6812 37th Rd APT 103"",""addressLocality"":""Flushing"",""addressRegion"":""NY"",""postalCode"":""11377""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.74759,""longitude"":-73.89747},""url"":""/homedetails/6812-37th-Rd-APT-103-Flushing-NY-11377/93392829_zpid/""}","$2,400/mo",586,,Save this home
https://www.zillow.com/homedetails/158-Woodward-Ave-APT-2L-Ridgewood-NY-11385/2099399730_zpid/,"158 Woodward Ave APT 2L, Ridgewood, NY 11385",Apartment for rent,2,bds,1,ba,3 hours ago,https://photos.zillowstatic.com/p_e/ISzzda4do7a66t1000000000.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""158 Woodward Ave Apt 2l, Ridgewood, NY 11385"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""158 Woodward Ave APT 2L"",""addressLocality"":""Ridgewood"",""addressRegion"":""NY"",""postalCode"":""11385""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.711983,""longitude"":-73.918202},""url"":""/homedetails/158-Woodward-Ave-APT-2L-Ridgewood-NY-11385/2099399730_zpid/""}","$2,100/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/4119-60th-St-APT-B1-Woodside-NY-11377/2081891881_zpid/,"4119 60th St APT B1, Woodside, NY 11377",Apartment for rent,1,bd,1,ba,4 hours ago,https://photos.zillowstatic.com/p_e/IS3n639g9rsw3f1000000000.jpg,"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4119 60th St Apt B1, Woodside, NY 11377"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4119 60th St APT B1"",""addressLocality"":""Woodside"",""addressRegion"":""NY"",""postalCode"":""11377""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.743416,""longitude"":-73.904017},""url"":""/homedetails/4119-60th-St-APT-B1-Woodside-NY-11377/2081891881_zpid/""}","$1,650/mo",--,sqft,Save this home
https://www.zillow.com/homedetails/2121-30th-Ave-3F-Astoria-NY-11102/2081892318_zpid/,"2121 30th Ave # 3F, Astoria, NY 11102",Apartment for rent,Studio,ba,1,sqft,5 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2121 30th Ave # 3f, Astoria, NY 11102"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""550""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2121 30th Ave # 3F"",""addressLocality"":""Astoria"",""addressRegion"":""NY"",""postalCode"":""11102""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.76972,""longitude"":-73.926822},""url"":""/homedetails/2121-30th-Ave-3F-Astoria-NY-11102/2081892318_zpid/""}","$1,900/mo",550,,Save this home
https://www.zillow.com/homedetails/Alstyne-Ave-Corona-NY-11368/2081892797_zpid/,"Alstyne Ave, Corona, NY 11368",Apartment for rent,3,bds,2,ba,5 hours ago,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""Alstyne Ave, Corona, NY 11368"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,100""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""Alstyne Ave"",""addressLocality"":""Corona"",""addressRegion"":""NY"",""postalCode"":""11368""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.74315,""longitude"":-73.86453},""url"":""/homedetails/Alstyne-Ave-Corona-NY-11368/2081892797_zpid/""}","$2,600/mo","1,100",sqft,Save this home
