,list-card-link href,list-card-addr,list-card-type,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-variable-text,list-card-link src,list-card-save-content
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13341 126th St Fl 2nd, S Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13341 126th St FL 2ND"",""addressLocality"":""S Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.669812,""longitude"":-73.813065},""url"":""/homedetails/13341-126th-St-FL-2ND-S-Ozone-Park-NY-11420/2081910836_zpid/""}",https://www.zillow.com/homedetails/13341-126th-St-FL-2ND-S-Ozone-Park-NY-11420/2081910836_zpid/,"13341 126th St FL 2ND, S Ozone Park, NY 11420",Apartment for rent,"$1,900/mo",2,bds,1,ba,--,sqft,1 day ago,"https://maps.googleapis.com/maps/api/streetview?location=40.669812,-73.813065&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=lgaucvvqVo18ulMKzTzAQHO5n_o=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13121 131st Ave, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,408""},""numberOfRooms"":4,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13121 131st Ave"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.670964,""longitude"":-73.806654},""url"":""/homedetails/13121-131st-Ave-Jamaica-NY-11420/32177139_zpid/""}",https://www.zillow.com/homedetails/13121-131st-Ave-Jamaica-NY-11420/32177139_zpid/,"13121 131st Ave, Jamaica, NY 11420",House for rent,"$3,500/mo",4,bds,2,ba,"1,408",sqft,3 days ago,https://photos.zillowstatic.com/p_e/ISf0tagbntltg10000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11453 130th St, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11453 130th St"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.679659,""longitude"":-73.810825},""url"":""/homedetails/11453-130th-St-South-Ozone-Park-NY-11420/2081922557_zpid/""}",https://www.zillow.com/homedetails/11453-130th-St-South-Ozone-Park-NY-11420/2081922557_zpid/,"11453 130th St, South Ozone Park, NY 11420",Apartment for rent,"$1,400/mo",1,bd,1,ba,--,sqft,3 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.679659,-73.810825&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=_iZxoPV6ms_TVLfrRorZpaaEvgM=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13523 128th St, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,500""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13523 128th St"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.668091,""longitude"":-73.811672},""url"":""/homedetails/13523-128th-St-Jamaica-NY-11420/32178993_zpid/""}",https://www.zillow.com/homedetails/13523-128th-St-Jamaica-NY-11420/32178993_zpid/,"13523 128th St, Jamaica, NY 11420",Apartment for rent,"$2,300/mo",3,bds,1,ba,"1,500",sqft,6 days ago,https://photos.zillowstatic.com/p_e/ISbdk1o206hdhh0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""Street S Ozone Park, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":1,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""Street S Ozone Park"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67368,""longitude"":-73.81698},""url"":""/homedetails/Street-S-Ozone-Park-South-Ozone-Park-NY-11420/2082754129_zpid/""}",https://www.zillow.com/homedetails/Street-S-Ozone-Park-South-Ozone-Park-NY-11420/2082754129_zpid/,"Street S Ozone Park, South Ozone Park, NY 11420",Apartment for rent,$800/mo,1,bd,1,ba,--,sqft,6 days ago,"https://maps.googleapis.com/maps/api/streetview?location=40.673680,-73.816980&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=bxtPIoZQ1fZ2-JS3gxNNaMFGW4Y=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13042 Lefferts Blvd, Jamaica, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,619""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13042 Lefferts Blvd"",""addressLocality"":""Jamaica"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.672984,""longitude"":-73.820469},""url"":""/homedetails/13042-Lefferts-Blvd-Jamaica-NY-11420/32175625_zpid/""}",https://www.zillow.com/homedetails/13042-Lefferts-Blvd-Jamaica-NY-11420/32175625_zpid/,"13042 Lefferts Blvd, Jamaica, NY 11420",House for rent,"$1,800/mo",2,bds,1,ba,"1,619",sqft,6 days ago,https://photos.zillowstatic.com/p_e/ISforla1xk3b9f0000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13519 117th St Fl 2nd, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,200""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13519 117th St FL 2ND"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.670242,""longitude"":-73.822635},""url"":""/homedetails/13519-117th-St-FL-2ND-South-Ozone-Park-NY-11420/2081958990_zpid/""}",https://www.zillow.com/homedetails/13519-117th-St-FL-2ND-South-Ozone-Park-NY-11420/2081958990_zpid/,"13519 117th St FL 2ND, South Ozone Park, NY 11420",Apartment for rent,"$2,699/mo",3,bds,2,ba,"1,200",sqft,7 days ago,https://photos.zillowstatic.com/p_e/IS3fse2lc8ciyb1000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""Street, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,312""},""numberOfRooms"":0,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""Street"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.67531,""longitude"":-73.80661},""url"":""/homedetails/Street-South-Ozone-Park-NY-11420/2081962670_zpid/""}",https://www.zillow.com/homedetails/Street-South-Ozone-Park-NY-11420/2081962670_zpid/,"Street, South Ozone Park, NY 11420",House for rent,"$1,100/mo",Studio,ba,1,sqft,"1,312",,7 days ago,https://photos.zillowstatic.com/p_e/IS725vau9lj7du1000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10930 120th St # 1, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,273""},""numberOfRooms"":3,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10930 120th St # 1"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.681547,""longitude"":-73.821138},""url"":""/homedetails/10930-120th-St-1-South-Ozone-Park-NY-11420/2081974510_zpid/""}",https://www.zillow.com/homedetails/10930-120th-St-1-South-Ozone-Park-NY-11420/2081974510_zpid/,"10930 120th St # 1, South Ozone Park, NY 11420",Apartment for rent,"$2,400/mo",3,bds,1,ba,"1,273",sqft,8 days ago,https://photos.zillowstatic.com/p_e/ISf8nn8069b9t50000000000.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""Rockaway Blvd, South Ozone Park, NY 11420"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""numberOfRooms"":2,""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""Rockaway Blvd"",""addressLocality"":""South Ozone Park"",""addressRegion"":""NY"",""postalCode"":""11420""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.6775,""longitude"":-73.82758},""url"":""/homedetails/Rockaway-Blvd-South-Ozone-Park-NY-11420/2081979758_zpid/""}",https://www.zillow.com/homedetails/Rockaway-Blvd-South-Ozone-Park-NY-11420/2081979758_zpid/,"Rockaway Blvd, South Ozone Park, NY 11420",Apartment for rent,"$1,800/mo",2,bds,1,ba,--,sqft,8 days ago,https://photos.zillowstatic.com/p_e/ISbplq9x4yq1yo1000000000.jpg,Save this home
