Latitude,Longitude,ListingType,ListingPrice,FloorSize,TimeOnMarket
40.669812,-73.813065,Apartment for rent,"$1,900/mo",--,1 day ago
40.670964,-73.806654,House for rent,"$3,500/mo","1,408",3 days ago
40.679659,-73.810825,Apartment for rent,"$1,400/mo",--,3 days ago
40.668091,-73.811672,Apartment for rent,"$2,300/mo","1,500",6 days ago
40.67368,-73.81698,Apartment for rent,$800/mo,--,6 days ago
40.672984,-73.820469,House for rent,"$1,800/mo","1,619",6 days ago
40.670242,-73.822635,Apartment for rent,"$2,699/mo","1,200",7 days ago
40.67531,-73.80661,House for rent,"$1,100/mo","1,312",7 days ago
40.681547,-73.821138,Apartment for rent,"$2,400/mo","1,273",8 days ago
40.6775,-73.82758,Apartment for rent,"$1,800/mo",--,8 days ago
40.67368,-73.81698,Apartment for rent,"$1,200/mo",--,10 days ago
40.67777,-73.80989,Apartment for rent,"$1,500/mo",--,10 days ago
40.673576,-73.806066,Apartment for rent,"$2,300/mo","3,450",12 days ago
40.66711,-73.80346,Apartment for rent,"$2,300/mo",--,13 days ago
40.67602,-73.80904,House for rent,"$2,450/mo",--,13 days ago
40.677934,-73.80821,House for rent,"$1,900/mo","1,392",15 days ago
40.67953,-73.83175,House for rent,"$1,300/mo",--,17 days ago
40.680048,-73.808932,Apartment for rent,"$1,850/mo",--,18 days ago
40.684777,-73.809556,Apartment for rent,"$2,400/mo","2,200",20 days ago
40.67911,-73.806781,Apartment for rent,"$1,600/mo",--,20 days ago
40.67222,-73.80637,House for rent,"$2,000/mo","1,419",21 days ago
40.671107,-73.81553,Apartment for rent,"$4,500/mo","2,000",21 days ago
40.66725,-73.82387,House for rent,"$2,750/mo","1,800",21 days ago
40.664535,-73.812124,Apartment for rent,"$2,300/mo",--,22 days ago
40.678061,-73.809828,House for rent,"$2,400/mo","1,572",25 days ago
40.679421,-73.823403,Apartment for rent,"$2,800/mo","2,000",27 days ago
40.68051,-73.82133,Apartment for rent,"$2,200/mo","1,000",28 days ago
40.682748,-73.820427,Apartment for rent,"$2,100/mo",--,28 days ago
40.67222,-73.80745,Apartment for rent,"$2,500/mo",--,28 days ago
40.66941,-73.826622,Apartment for rent,"$2,000/mo",--,35 days ago
40.674614,-73.81831,House for rent,"$3,000/mo",--,37 days ago
40.671405,-73.811606,Apartment for rent,"$1,900/mo",--,44 days ago
40.68354,-73.81065,House for rent,"$2,000/mo",--,44 days ago
40.681359,-73.821046,House for rent,"$1,950/mo","2,412",48 days ago
40.681249,-73.812988,Apartment for rent,"$1,550/mo",--,52 days ago
40.676274,-73.821799,Apartment for rent,"$1,800/mo","3,000",56 days ago
40.681649,-73.825193,Condo for rent,"$2,100/mo","1,408",56 days ago
40.68275,-73.81342,Apartment for rent,"$2,100/mo","1,100",59 days ago
40.68133,-73.812404,Apartment for rent,"$2,100/mo","1,100",59 days ago
40.68275,-73.81342,Apartment for rent,"$2,100/mo",--,60 days ago
40.672701,-73.81019,Apartment for rent,"$2,200/mo","1,200",61 days ago
40.677784,-73.828176,House for rent,"$2,500/mo","2,692",63 days ago
40.685049,-73.809288,Apartment for rent,"$2,500/mo","2,174",64 days ago
40.67061,-73.80557,House for rent,"$3,100/mo","1,344",65 days ago
40.668085,-73.827126,House for rent,"$3,000/mo","1,776",68 days ago
40.67467,-73.82252,House for rent,"$1,500/mo","1,000",69 days ago
40.680875,-73.817194,House for rent,"$2,500/mo","1,220",85 days ago
40.671169,-73.811309,Apartment for rent,"$2,500/mo","1,400",86 days ago
40.6717,-73.81663,House for rent,"$2,300/mo","1,400",86 days ago
40.670014,-73.822334,Apartment for rent,"$2,200/mo","1,075",86 days ago
40.6717,-73.81663,Apartment for rent,"$2,100/mo",900,86 days ago
40.66773,-73.81593,Apartment for rent,"$2,600/mo","1,000",90 days ago
40.67801,-73.8161,Apartment for rent,"$2,000/mo",--,97 days ago
40.671264,-73.826285,Condo for rent,"$3,000/mo",--,103 days ago
40.679055,-73.813343,House for rent,"$2,200/mo","1,632",106 days ago
40.671171,-73.816126,House for rent,"$4,500/mo","2,000",107 days ago
40.668745,-73.82466,House for rent,"$2,000/mo","1,122",175 days ago
40.670143,-73.810038,Apartment for rent,"$2,700/mo","1,000",214 days ago
40.67462,-73.80451,House for rent,"$2,200/mo",--,226 days ago
40.665762,-73.814255,House for rent,"$8,000/mo","1,800",253 days ago
40.682201,-73.811315,Apartment for rent,"$2,400/mo",--,261 days ago
40.67103,-73.81299,Apartment for rent,"$2,250/mo","1,200",267 days ago
